Questions,Blooms Taxonomy
What is clustering?,Understanding
What is classification?,Understanding
What is data mining?,Understanding
What is the difference between data mining and machine learning?,Analyze
What is the role of visualization in data analysis?,Analyze
What are the most common tools used for data analysis?,Remember
What is big data?,Understanding
What are the challenges of analyzing big data?,Evaluate
What is the role of data analytics in business decision-making?,Analyze
What is data warehousing?,Understanding
What is data cleansing?,Understanding
What are the steps involved in data cleansing?,Remember
What is data modeling?,Understanding
What are the most common data modeling techniques?,Remember
What is data integration?,Understanding
What is an algorithm?,Understanding
What is the difference between an algorithm and a program?,Analyze
What are the key characteristics of a good algorithm?,Remember
What is the time complexity of an algorithm?,Understanding
What is the space complexity of an algorithm?,Understanding
What is asymptotic analysis?,Understanding
"What is the difference between worst-case, best-case, and average-case analysis?",Analyze
What is a divide-and-conquer algorithm?,Understanding
What is dynamic programming?,Understanding
What is the greedy algorithm?,Understanding
What is backtracking?,Understanding
What is branch-and-bound?,Understanding
What is randomized algorithms?,Understanding
What is the difference between exact and approximate algorithms?,Analyze
What is the role of algorithm design in computer science?,Evaluate
What is the difference between sequential and parallel algorithms?,Analyze
What are some common algorithms used in sorting and searching?,Remember
What is the traveling salesman problem?,Understanding
What is the knapsack problem?,Understanding
What is the subset sum problem?,Understanding
What is the longest common subsequence problem?,Understanding
What is the shortest path problem?,Understanding
What is the maximum flow problem?,Understanding
What is the minimum spanning tree problem?,Understanding
What are the trade-offs between different algorithmic approaches?,Evaluate
"What is a Denial of Service (DoS) attack, and how is it used in information security?",Remember
"How do antivirus software work, and what are some common types of antivirus software used in information security?",Understand
"If you needed to perform a vulnerability assessment for an organization, what steps would you take in the assessment process?",Apply
"How can data loss prevention (DLP) systems be used to prevent sensitive information from being leaked or lost, and what are some common techniques used for prevention?",Analyze
"Design a secure authentication system for an organization's remote access network, and explain how the system works step-by-step.",Create
"What are some of the legal and regulatory issues related to information security, and how can organizations comply with relevant laws and regulations?",Evaluate
"How do intrusion prevention systems (IPS) work, and what are some common types of IPS used in information security?",Analyze
"If you needed to configure a secure file server, what steps would you take in the configuration process?",Apply
"What is the difference between a symmetric and an asymmetric key algorithm, and what are some common applications of each in information security?",Understand
"What are some of the risks associated with bring-your-own-device (BYOD) policies in organizations, and how can these risks be mitigated?",Evaluate
"What is a digital certificate, and how is it used in information security?",Remember
"How can penetration testing be used to identify vulnerabilities in an organization's information systems, and what are some common techniques used in the process?",Analyze
"Design a disaster recovery plan for an organization's network infrastructure, and explain how the plan works step-by-step.",Create
"If you needed to configure a secure remote desktop connection, what steps would you take in the configuration process?",Apply
"How do virtualization technologies work, and what are some common applications of virtualization in information security?",Understand
"What are some of the risks associated with social media use in organizations, and how can these risks be mitigated?",Evaluate
"How can network segmentation be used to enhance information security, and what are some common techniques used for segmentation?",Analyze
"If you needed to configure a secure database server, what steps would you take in the configuration process?",Apply
"What is a man-in-the-middle (MitM) attack, and how is it used in information security?",Remember
"What are some of the challenges involved in securing Internet of Things (IoT) devices, and what techniques can be used to enhance IoT security?",Evaluate
"How can network access control (NAC) systems be used to enforce security policies on network devices, and what are some common techniques used for NAC?",Analyze
"Design a security incident response plan for an organization, and explain how the plan works step-by-step.",Create
"If you needed to configure a secure email gateway, what steps would you take in the configuration process?",Apply
"What is the difference between a vulnerability and an exploit, and how are they related in information security?",Understand
"What are some of the ethical considerations involved in the use of artificial intelligence (AI) in information security, and how can these issues be addressed?",Evaluate
"What is the definition of artificial intelligence, and how is it different from human intelligence?",Remember
"How do machine learning algorithms work, and what are some common types of machine learning algorithms?",Understand
"If you needed to develop a recommendation system for an online shopping platform, what machine learning techniques would you use?",Apply
"How can deep learning be used for image recognition, and what are some of the limitations of this approach?",Analyze
"Develop a chatbot that can answer customer service inquiries for a company, and explain how the chatbot works step-by-step.",Create
"What are some ethical considerations involved in the development and deployment of AI systems, and how can these considerations be addressed?",Evaluate
"How can reinforcement learning be used in autonomous systems, such as self-driving cars or robots?",Analyze
"If you needed to develop a natural language processing (NLP) system for a language translation application, what techniques would you use?",Apply
"What is the Turing test, and how is it used to evaluate the intelligence of an AI system?",Understand
"What are some of the limitations of rule-based AI systems, and how can these limitations be addressed using machine learning techniques?",Evaluate
"What is the difference between supervised and unsupervised learning, and what are some common applications of each approach?",Remember
"How can computer vision be used in manufacturing processes, and what are some challenges involved in this application?",Analyze
"Develop an AI-based recommendation system for a music streaming platform, and explain how the system works step-by-step.",Create
"If you needed to develop a fraud detection system for a financial institution, what machine learning techniques would you use?",Apply
"What is the difference between artificial narrow intelligence (ANI) and artificial general intelligence (AGI), and what are some challenges involved in developing AGI?",Understand
"What are some challenges involved in developing AI systems that can explain their decision-making processes, and how can these challenges be addressed?",Evaluate
"How can natural language processing be used in chatbots and virtual assistants, and what are some limitations of this technology?",Analyze
"If you needed to develop a sentiment analysis system for social media data, what machine learning techniques would you use?",Apply
"What is the difference between deep learning and shallow learning, and what are some common applications of each approach?",Remember
"What are some challenges involved in developing AI systems that are robust to adversarial attacks, and how can these challenges be addressed?",Evaluate
"How can unsupervised learning be used for anomaly detection, and what are some common techniques used for this application?",Analyze
"Develop an AI-based recommendation system for a news website, and explain how the system works step-by-step.",Create
"If you needed to develop a speech recognition system for a digital assistant, what techniques would you use?",Apply
"What is the difference between artificial intelligence and machine learning, and how are these two fields related?",Understand
"What are some challenges involved in developing AI systems that can understand and interpret human emotions, and how can these challenges be addressed?",Evaluate
"What is the purpose of a network interface card (NIC), and how is it used in a computer network?",Remember
"How do routers and switches work, and what are some of the key differences between these two types of network devices?",Understand
"If you needed to troubleshoot a network connectivity issue, what steps would you take in the troubleshooting process?",Apply
"How can network congestion be managed and controlled, and what are some of the techniques used for congestion control?",Analyze
"Design a network topology for an organization's wide area network (WAN), and explain how the topology works step-by-step.",Create
"What are some of the security risks associated with wireless networks, and how can these risks be mitigated?",Evaluate
"How do network protocols work, and what are some common types of network protocols used in computer networks?",Analyze
"If you needed to configure a virtual private network (VPN), what steps would you take in the configuration process?",Apply
"What is the purpose of the Domain Name System (DNS), and how is it used in computer networks?",Understand
"What are some of the challenges involved in providing Quality of Service (QoS) for network traffic, and how can these challenges be addressed?",Evaluate
"What is a firewall, and how is it used in computer networks for security purposes?",Remember
"How can packet sniffing be used to monitor network traffic, and what are some common tools used for packet sniffing?",Analyze
"Design a subnetting scheme for an organization's local area network (LAN), and explain how the scheme works step-by-step.",Create
"If you needed to configure a secure web server, what steps would you take in the configuration process?",Apply
"What is the purpose of the Transmission Control Protocol (TCP), and how is it used in computer networks?",Understand
"What are some of the benefits and drawbacks of using cloud-based network services, and how can these services be effectively managed and monitored?",Evaluate
"How can load balancing be used to improve network performance and availability, and what are some common techniques used for load balancing?",Analyze
"If you needed to configure a secure file transfer protocol (FTP) server, what steps would you take in the configuration process?",Apply
"What is a packet, and how is it used in network communication?",Remember
"What are some of the risks associated with network sniffing and eavesdropping, and how can these risks be mitigated?",Evaluate
"How can network segmentation be used to enhance network security, and what are some common techniques used for segmentation?",Analyze
"Design a network diagram for an organization's data center, and explain how the diagram works step-by-step.",Create
"If you needed to configure a secure email server, what steps would you take in the configuration process?",Apply
"What is the purpose of the User Datagram Protocol (UDP), and how is it used in computer networks?",Understand
"What are some of the challenges involved in implementing and managing virtual private networks (VPNs), and how can these challenges be addressed?",Evaluate
What is an algorithm? ,Remember
What is a data structure? ,Remember
What is the difference between an algorithm and a data structure?,Understand
What is the time complexity of an algorithm? ,Remember
What is the space complexity of an algorithm? ,Remember
What is Big-O notation? ,Remember
What is the purpose of Big-O notation? ,Understand
What is the worst-case time complexity of linear search?,Remember
What is the worst-case time complexity of binary search? ,Remember
What is the difference between linear search and binary search?,Understand
What is a linked list? ,Remember
What is the difference between a singly linked list and a doubly linked list?,Understand
What is a stack? ,Remember
What is a queue?,Remember
What is a binary tree?,Remember
What is a binary search tree? ,Remember
What is the height of a binary tree?,Remember
What is the difference between a binary tree and a binary search tree? ,Understand
What is a balanced binary search tree? ,Understand
What is an AVL tree? ,Remember
What is a red-black tree? ,Remember
What is a heap? ,Remember
What is a priority queue?,Remember
What is a hash table?,Remember
What is the time complexity of inserting an element into a hash table? ,Remember
What is the time complexity of searching for an element in a hash table?,Remember
What is a graph? ,Remember
What is a directed graph?,Remember
What is an undirected graph?,Remember
What is a weighted graph?,Remember
What is a path in a graph? ,Remember
What is a cycle in a graph? ,Remember
What is a spanning tree of a graph?,Remember
What is a minimum spanning tree?,Remember
What is Dijkstra's algorithm? ,Remember
What is the time complexity of Dijkstra's algorithm? ,Remember
What is the Bellman-Ford algorithm? ,Remember
What is the time complexity of the Bellman-Ford algorithm? ,Remember
What is the Floyd-Warshall algorithm? ,Remember
What is the time complexity of the Floyd-Warshall algorithm? ,Remember
What is dynamic programming? ,Understand
What is memoization?,Remember
What is the Knapsack problem?,Understand
What is the Longest Common Subsequence problem? ,Understand
What is the Longest Increasing Subsequence problem? ,Understand
What is the Traveling Salesman problem?,Understand
What is the Subset Sum problem? ,Understand
What is the Difference between Greedy and Dynamic Programming algorithms? ,Understand
What is the Difference between Depth-First Search and Breadth-First Search algorithms? ,Understand
What is a computer network? ,Remember
What is a protocol? ,Remember
What is the purpose of a network protocol? ,Understand
What is the OSI model? ,Remember
What is the TCP/IP model? ,Remember
What is the difference between the OSI model and the TCP/IP model?,Understand
What is a network interface card (NIC)?,Remember
What is an IP address?,Remember
What is a subnet mask? ,Remember
How would you use a firewall to secure a network?,Apply
How would you configure a router to allow traffic from a specific IP address range?,Apply
How would you troubleshoot a network connectivity issue?,Apply
Analyze a network topology to identify potential bottlenecks or points of failure.,Analyze
Evaluate different network protocols and determine their advantages and disadvantages.,Analyze
Evaluate different network security solutions and determine which would be the most effective for a particular organization.,Analyze
Evaluate the performance of a network by analyzing network traffic and identifying areas for improvement.,Evaluate
Evaluate the security of a network by performing vulnerability assessments and penetration testing.,Evaluate
Evaluate the scalability of a network and identify areas for expansion or optimization.,Evaluate
Design a network topology that meets the requirements of a given organization.,Create
"Develop a network security plan that includes firewalls, intrusion detection systems, and encryption.",Create
"Develop a disaster recovery plan for a network, including backup and restoration procedures.",Create
Design a network topology that meets the requirements of a given organization.,Analyze
"Develop a network security plan that includes firewalls, intrusion detection systems, and encryption.",Analyze
"Develop a disaster recovery plan for a network, including backup and restoration procedures.",Analyze
How would you configure a network to use a wide area network (WAN) to connect remote locations?,Apply
How would you configure a switch to use virtual LANs (VLANs) to isolate network traffic?,Apply
How would you troubleshoot a network issue that is causing intermittent DNS resolution failures?,Apply
Design a network architecture that supports high availability and failover.,Create
"Develop a network security plan that includes intrusion detection, penetration testing, and incident response procedures.",Create
Create a network upgrade plan that minimizes downtime and impact on users.,Create
Evaluate the effectiveness of different load balancing solutions for a given application.,Evaluate
Evaluate the impact of network latency on real-time applications such as video conferencing.,Evaluate
Evaluate different network virtualization technologies and determine which would be most effective for a given situation.,Evaluate
How would you configure a router to use Quality of Service (QoS) to prioritize traffic?,Apply
How would you configure a network to use a content delivery network (CDN) to improve performance?,Apply
How would you troubleshoot a network issue that is causing dropped packets?,Apply
Analyze network traffic data to identify abnormal traffic patterns that may indicate a security threat.,Analyze
Analyze network topology diagrams to identify single points of failure.,Analyze
Analyze network performance data to identify patterns that may indicate a capacity issue.,Analyze
Design a network architecture that provides secure remote access for remote workers.,Create
Develop a network segmentation plan that isolates sensitive data and applications from the rest of the network.,Create
Create a disaster recovery plan for a network that includes regular testing and updates.,Create
Evaluate the impact of network congestion on application performance.,Evaluate
Evaluate the security risks associated with remote access to a network.,Evaluate
Evaluate different network monitoring tools and determine which would be most effective for a given situation.,Evaluate
Analyze network traffic patterns to identify abnormal behavior or security threats.,Analyze
Analyze network performance data to identify the root cause of a performance issue.,Analyze
Analyze a network diagram to identify potential scalability issues.,Analyze
How would you configure a firewall to allow traffic to a specific port on a server?,Apply
How would you configure a load balancer to distribute traffic evenly across a group of servers?,Apply
How would you troubleshoot a network issue that is causing intermittent connectivity problems?,Apply
Design a network architecture that includes redundancy and failover mechanisms.,Create
"Develop a network disaster recovery plan that includes backup, restoration, and failover procedures.",Create
Create a network monitoring solution that can detect and alert on potential security threats.,Create
Analyze a network diagram to identify potential security vulnerabilities.,Analyze
Analyze network traffic logs to identify suspicious activity.,Analyze
Analyze network performance data to identify bottlenecks and areas for improvement.,Analyze
Evaluate the effectiveness of different network security solutions in preventing attacks.,Evaluate
Evaluate the impact of network downtime on an organization's operations.,Evaluate
"Evaluate the trade-offs between different network design options, such as cost vs. performance.",Evaluate
What is the difference between supervised and unsupervised learning?,Remember
What is a decision tree in machine learning?,Remember
What is the goal of dimensionality reduction in machine learning?,Remember
How does a neural network learn from data?,Understand
How do you choose the appropriate machine learning algorithm for a given problem?,Understand
What is overfitting and how can it be prevented in machine learning?,Understand
How would you train a support vector machine (SVM) to classify text documents?,Apply
How would you use a random forest classifier to predict customer churn?,Apply
How would you use clustering to segment customers based on purchasing behavior?,Apply
Analyze the performance of different machine learning models on a given dataset.,Analyze
Analyze the feature importance in a random forest model to identify the most influential variables.,Analyze
Analyze the impact of different hyperparameters on the performance of a machine learning model.,Analyze
Evaluate the effectiveness of a machine learning model in predicting outcomes.,Evaluate
Evaluate the fairness of a machine learning model by analyzing its impact on different demographic groups.,Evaluate
Evaluate the ethical implications of using machine learning to make decisions.,Evaluate
"Design a machine learning pipeline that includes data preprocessing, feature engineering, and model training.",Create
Develop a machine learning model that can detect fraudulent transactions.,Create
Develop a machine learning model that can predict customer churn.,Create
How would you use artificial neural networks to classify images?,Apply
How would you use convolutional neural networks to recognize objects in images?,Apply
How would you use recurrent neural networks to generate text?,Apply
Analyze the impact of different hyperparameters on the performance of a neural network.,Analyze
Analyze the interpretability of different neural network architectures.,Analyze
"Analyze the performance of a deep learning model using metrics such as precision, recall, and F1 score.",Analyze
Evaluate the effectiveness of a deep learning model in solving a particular problem.,Evaluate
Evaluate the fairness of a deep learning model by analyzing its impact on different demographic groups.,Evaluate
Evaluate the ethical implications of using deep learning to make decisions.,Evaluate
Design a convolutional neural network that can recognize hand-written digits.,Create
Develop a recurrent neural network that can generate music.,Create
Develop a deep learning model that can classify different types of cancer.,Create
How would you use natural language processing to classify text?,Apply
How would you use sentiment analysis to analyze social media data?,Apply
How would you use topic modeling to identify patterns in text data?,Apply
Analyze the impact of different text preprocessing methods on the performance of a natural language processing model.,Analyze
Analyze the interpretability of different topic modeling algorithms.,Analyze
Analyze the performance of a text classification model using metrics such as accuracy and F1 score.,Analyze
"Design a natural language processing pipeline that includes text preprocessing, feature extraction, and model training.",Create
Develop a sentiment analysis model that can classify the sentiment of movie reviews.,Create
Develop a text classification model that can identify fake news.,Create
CASE stands for,Remember
What is Cyclomatic complexity?,Understand
"When elements of module are grouped together that are executedsequentially in order to perform a task, is called ______",Understand
Which of the following is the Process Improvement Model?,Remember
What types of errors are not done by Black-Box Testing and can beuncovered by White-Box Testing?,Understand
Which is the worst type of coupling?,Remember
Cohesion is a qualitative indication of the degree to which amodule,Understand
Which is not a step of Requirement Engineering?,Remember
Effective software project management focuses on,Remember
What do we mean by a cross-functional Development Team?  The Development Team should have all the skills necessary todeliver the Done Increment,Understand
What happens when all the Sprint Items cannot be completed?,Understand
Which of the following is not an agile method?,Remember
The UML supports event-based modeling using ____________diagrams.,Understand
Which of the following diagram is prepare for showcasing behaviorof single object?,Remember
Which of the following is not obvious relationship between two taskin MS Project?,Remember
Which symbol is not allowed in Context level DFD?,Remember
Which of the following Calendar is not Default Colander in MSProject?,Remember
A user story that is too large is broken into smaller storiescalled ____.,Remember
A project's '____' state is created when all product backlog itemsare started.,Remember
"What is software testing and why is it required? Differentiatebetween Black-Box testing and Structural (White-Box) Testing. How Acceptance, Alpha and Beta Testing are differing from each other?",Analyze
Define the roles in Scrum? Explain Agile software developmentprocess in detail. Differentiate between Scrum and Sprint.,Understand
What do you mean by software maintenance? What are the differenttypes of maintenance that a software product might need?,Analyze
Show how the failure curve of software differs from that ofhardware. Software doesn't wear out but it deteriorates due tochange. Justify. How do software myths affect a software project?,Analyze
How Design Thinking will help us to solve the problem? Explainvarious stages of Design Thinking.,Apply
Why it is required to have certification for any Software industry?Compare CMM with ISO 9000 certification.,Evaluate
What is a risk? What are the risk management activities? What typesof risks are likely to encounter as software is built? How wouldyou identify the risks and how to contaminate risks from theproject?,Understand
How Gantt Chart is different from PERT Chart? How to do tracking ofProject using Gantt Chart and PERT Chart? What is Baseline ofProject? How Baseline is useful in tracking activity?,Analyze
Which among the following represents the objectives/requirements of Data Link Layer?,Understand
The Web is a______________________application-layer architecture.,Remember
The address of the original IEEE 802 MAC comes from ___________.,Remember
Which layer is used for wireless connection in IoT devices?,Remember
"Match the classes of IP addresses with their functionalapplications

A. Class A -------------------- 1) Multicast services
B. Class B -------------------- 2) Reserved for future use
C. Class D -------------------- 3) Large organizations
D. Class E -------------------- 4) Midsize Organizations",Remember
Which layer is CoAP?,Remember
What does HTTP do?,Remember
"When integrating internet services, XML is primarily used for:",Understand
How does Software-Defined Networking (SDN) facilitate theintegration of IoT devices into a network?,Analyze
Which of the following is a key difference between IPv4 and IPv6?,Remember
What differentiates the Web of Things (WoT) from traditional IoT?,Remember
What is the primary purpose of a functional stack in IoT systems?,Understand
___________ are the main components in IOT.,Remember
Full form of LPWAN,Remember
"In MQTT, what role does a ""broker"" play in the communicationprocess?",Understand
Which of the following is a characteristic of IoT?,Remember
Monitor target of the smart ________ includes sensor objects in thepower link.,Remember
Which statement is TRUE with respect to the IEEE 802.15.4 standard?,Evaluate
Which of the following allows data processing close to device?,Remember
Which of the following statements is/are correct with respect toNFC(Near Field Communication)?[a] It is a contactless communication technologythat uses electromagnetic radio fields.[b] NFC is designed for use by devices which can be at a distanceof a centimeter from each other.[c] NFC can use encryption while sending sensitive information.,Understand
"Describe the concept of the ""Internet of Everything"" (IoE), and howdoes it expand upon the idea of the Internet of Things (IoT) byincorporating new elements and technologies?",Analyze
Differentiate between IoT and M2M technologies. Provide examplesto illustrate the differences.,Analyze
(ii)Enumerate and explain the essential characteristics of IoT.,Understand
Elaborate on Cisco's IoT/M2M Security Framework and its role inenhancing IoT security.,Analyze
Explain RPL Protocol,Understand
How does the 802.1X security protocol enhance network securityin the context of IoT and machine-to-machine (M2M)communication?,Analyze
"Discuss the key challenges in securing IoT devices, consideringboth hardware and software aspects.",Analyze
Describe the role of communication standards in IoT system. Docomparison between ZigBee and Wi-Fi.,Analyze
"Investigate an IoT application in environmental monitoring.Highlight how IoT devices and sensors are used to collect data onair quality, water quality, or climate conditions, and how thisdata is utilized for environmental protection and conservationefforts.",Analyze
Explain the concept of Low Energy Adaptive Clustering Hierarchy(LEACH) in IoT/M2M network architecture. Discuss its significancein extending the network lifetime and reducing energy consumption.Provide a step-by-step explanation of how LEACH operates and how it addresses the challenges of energy efficiency in wireless sensornetworks.,Analyze
Describe in detail the working mechanism of MQTT. Explain thevarious fields in the message format of MQTT,Understand
"Discuss the key principles of designing a RESTful API for IoTdevices. Provide examples of how these principles can be applied inthe context of IoT, and discuss the advantages of using RESTfulAPIs for IoT applications.",Understand
List down the messaging protocol of IoT and explain any 2,Understand
List any two IoT applications in the Education/ Academicdomain. Answer the following with respect to your applications: List the hardware components that can be used to deploy theapplications at CHARUSAT campus. Which protocol is suitable in thelisted applications? Justify.,Understand
What is the keyword used to define a singleton class in Kotlin?,Remember
What is the difference between a property and a field in Kotlin?,Understand
Can an inner class have its own properties and methods in kotlin?,Understand
What is the purpose of the open modifier in Kotlin?,Understand
What is a lambda in Kotlin?,Understand
"What is the purpose of the ""async"" keyword in Dart?",Understand
Which of the following is the correct syntax for a for loop in Dart?,Remember
Which of the following is a characteristic of Dart programming language?,Remember
Who developed the Flutter Framework and continues to maintain it today?,Remember
Which function will return the widgets attached to the screen as a root of the widget tree to be rendered on screen in flutter?,Remember
What is the key configuration file used when building a Flutter project?,Remember
Which component allows us to specify the distance between widgets on the screen in flutter?,Remember
Which widget type allows you to modify its appearance dynamically according to user input in flutter?,Understand
What widget would you use for repeating content in Flutter?,Remember
What is a widget in Flutter?,Understand
How many child widgets can be added to the container widget in flutter?,Remember
TextField widget allows app users to type text into an app in flutter.,Understand
List different types of constructors available in kotlin? Explain them with proper examples.,Understand
Demonstrate importance of Lambdas with example in kotlin.,Apply
Discuss function in kotlin. Explain its use with example.,Understand
List types of the loop in kotlin and explain all types of loop with example.,Understand
Explain use of data class with example in kotlin.,Understand
Define list. Explain mutable List and an immutable List with example in kotlin.,Understand
"Create flutter application of calculator (add, subtract, division, multiplication).",Apply
Explain how we can switch between two screen with example in flutter.,Apply
Demonstrate use of listview widget with example in flutter.,Apply
Explain Async and Await with example in dart.,Understand
Create flutter application which show use of Row and column widget.,Apply
Demonstrate use of Pubspec.yaml file with example in flutter.,Apply
"Arrange the following functions in ascending order of theirgrowth.F1(n)=2n, F2(n)=n3/2,F3(n)=nlog2n, F4(n)=nlog2n",Analyze
What is the time complexity of the recursive implementation used tofind the nth Fibonacci term?,Analyze
Consider a minimization problem where finding the optimal solutionis computationally infeasible. Which of the following statementsabout approximation algorithms is true?,Analyze
Which of the following is the correct equation for the matrix chainmultiplication problem where mat[i-1] * mat[i] gives the dimension of the ith matrix?,Analyze
"Suppose you have candidate set C with coins of differentdenominations and you want to find the change of an amount N.You have an infinite supply of each of coins in C. According to greedyalgorithm, which of the following options, with values of C and K,will NOT produce an optimal answer?",Analyze
State true or false: Kruskal's algorithm can work for undirectedgraph only for finding MST.,Understand
"State True or false: The Bellman-Ford algorithm indicates whetherthere is a negative-weight cycle that is reachable from the source.If there is such a cycle, the algorithm indicates that no solutionexists.",Understand
"Assume that the algorithms considered here sort the input sequencesin ascending order. If the input is already in ascending order,which of the following are TRUE?",Understand
Let X be a problem that belongs to the class NP. Then which one ofthe following is TRUE?,Understand
"State true or false: In huffman coding, The code length does notdepend on the frequency of occurrence of characters.",Understand
How many spanning trees does the given graph have?,Analyze
How many comparisons are needed to sort an array of length 5 if astraight selection sort is used and array is already in the descending order?,Apply
Consider the below table for jobs given with profit and deadline.Find the maximum profit earned.,Analyze
What is the basic principle in Rabin Karp algorithm?,Understand
What is recurrence and time complexity for worst case of QuickSort?,Understand
State Master Theorem. Solve the following recurrence equationsusing Master Theorem.,Apply
What is rate of the growth? What is the significance of it inanalyzing an algorithm? Solve the following recurrence usingrecurrence tree method: T(n)=T(n/3) + T(2n/3) + n,Analyze
"Define: P, NP, NP-complete and NP-hard problem. What is theimportance of approximation algorithms? Give two examples ofapproximation algorithm problems.",Apply
"Suppose that we have 4 tasks(T1,T2,T3,T4) to be performed on 4(A,B,C,D) machines (one task to one machine). Apply the branch andbound method to assign the tasks to the machines at the minimumcost. Following is the table where cost of tasks are mentioned foreach machine.",Apply
"Explain spurious hit in Rabin-Karp string matching algorithm.Working module q=13, How many spurious hits does the Rabin-Karpmatcher encounter in the text T= 2359023141526739921 when lookingfor pattern P = 31415?",Apply
Derive at least two solutions of 5-queen problem.,Evaluate
"Solve the following 0/1 knapsack problem for optimal solution.There are five items whose weights and values are given infollowing arrays, Weight w[] = { 1,4,5,6,7} and values V[] = {1,6,18,22,28}. Show equation and find out the optimal knapsackitems for weight capacity of 11 units.Assume that each item can beselected only once.",Apply
 Show that recursive solution of finding longest common subsequence(LCS) has overlapping subproblems for the following givenstrings.Also apply dynamic programming solution for findingLCS.S1: PQRPPR S2: QPRP,Apply
"Write the equation for the Floyd-warshall algorithm.Show the matrixD(k) that results for each iteration on the given weighted,directed graph.",Apply
 Consider that ABC academy is offering eight courses during itssummer session. The table shows with an X which pairs of courseshave one or more common students. Find the minimum number of timeslots required to schedule the lectures of all courses in oneday.,Apply
Identify Output of Given Code.,Evaluate
Determine the output or error from the below code.,Evaluate
Identify the Correct one.,Evaluate
Which of the following do not denote a primitive data value in Java?,Remember
What is the correct formula for calculating the capacity of StringBuilder and StringBuffer Object?,Remember
From the following statements which is a disadvantage of a Java array.,Remember
"Which component is used to compile, debug and execute the java program?",Remember
Which access specifiers can be used for a class so that it's members can be accessed by a different class in the different package?,Remember
What is StringBuffere in java?,Remember
Encapsulation is _________________.,Remember
Please illustrate a situation where the finalize() method is engaged in Java to release an object from memory and clarify the significance of garbage collection in the Java programming language.,Apply
Why polymorphism is important in OOPS? What is Runtime Polymorphism? Demonstrate the working of runtime polymorphism using examples.,Apply
"Write an interactive program that reads a statement from the user input. The statement includes a number like ""4439 Gale Street, Livermore CA 94550"" and prints only the number from the given statement in the ""number.txt"" file. Users can enter multiple statements up till ""exit"" will be entered by the user.",Apply
Explain any five Buzzwords of Java with proper example.,Understand
What is the use of Constructor? Explain different types of constructor. Explain Copy constructor using java program.,Apply
"Write a program to take input as a single dimension array that holds 10 integer elements, and replace the odd number with the new number multiplied by the 2. Print new array on the console.",Apply
"Explain the key differences between ArrayList and Vector in Java, and provide a Java program using generics to store only String values in an ArrayList, and then print the elements on the console in ascending order.",Apply
"Describe the distinctions between thread-based multitasking and process-based multitasking in the context of Java programming. Additionally,provide a brief explanation of the thread life cycle, highlighting its key stages.",Apply
"Explain the differences between checked and unchecked exceptions in Java. Additionally, provide a Java program that accepts a word as input and, if the third character of the word is a number, generates a custom exception called 'Third Character Number Exception'.",Apply
"Create a Java program demonstrating the utilization of the Hashtable class to store and retrieve student records. Each student record should include attributes such as Student_name, Student_Id, and Percentage. Implement a descending-order sorting mechanism based on the percentage attribute. Provide an explanation of the sorting process in your program.",Apply
"Write a java program to implement an interface called Exam with a method Pass (int mark) that returns a boolean. Write another interface called Classify with a method Division (int average) which returns a String. Write a class called Result which implements both Exam and Classify. The Pass method should return true if the mark is greater than or equal to 50 else false. The Division method must return ""First"" when the parameter average is 60 or more, ""Second"" when the average is 50 or more but below 60, ""No division"" when the average is less than 50.",Apply
What are the types of Inheritance? Explain any two types with examples.,Remember
Which of the following attacks is a passive attack?,Remember
Hacking refers to:,Remember
What is the minimum number of cryptographic keys required for secure two-way communications in symmetric key cryptography?,Remember
In the DES algorithm the round key is __________ bit and the Round Input is ____________bits.,Remember
AES uses a ____________ bit block size and a key size of __________ bits.,Remember
SSL primarily focuses on _______,Remember
Which one of the following cipher types operates on large pieces of a message rather than individual characters or bits of a message?,Remember
Which of the following is hardest to break using frequency analysis?,Remember
Which of the following options correctly defines the Brute force attack?,Remember
"Which of the following has the goal to recover the plaintext, the key, or both?",Remember
Which of the following correct option to find multiplicative inverse of 11 in Z26?,Understand
"Consider a=161 and b=28, choose the correct gcd(a,b) and values of s and t from below option.",Apply
Which one is true about Public Key Cryptosystem?,Remember
Shared Secret Key is belongs to,Remember
Generate the 2 keys of SDES using Key generation algorithm and using that sub key encrypt the following data. Let the plaintext be the string 01110010 Let the 10-bit key be 1010000010.,Apply
" the rest of the matrix with the rest of the alphabet.Use the Playfair cipher to encipher the message ""LIVEFOOTBALLMATCH"". The secret key can be made by filling the first and part of the second row with the word ""ENVIRONMENT"" and filling",Apply
"How many modes of operations are available? Enlist all available modes and with a clear diagram explain how CBC,EBC and CFB mode is performed.",Understand
Explain detailed Encryption Structure of AES with its four Transformation. What are the differences between DES and AES?,Understand
Draw and Explain symmetric key distribution scenario.,Understand
Draw and Explain symmetric key distribution scenario.,Understand
"What will be the ciphered text corresponding to plain text ""ARMYMAN"" if an affine cipher is used with key values as a=5, b=10?",Apply
"What is the main strength of RSA algorithm? Given two prime numbers, p = 11; q = 13, public key, e = 11 and message, M = 7. Calculate private key and perform encryption using RSA algorithm",Apply
"In case of an insecure communication medium, how does Bob and Alice will securely share the key without sharing actual key. Determine the proper algorithm and calculate the shared secret of Bob and Alice. Consider prime q=71 and a primitive root a=7. If User Bob and Alice has private key 5 and 12 then calculate A's public key and B's public key.",Apply
